kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Lampung Selatan;2022;Kacang Hijau;34;33.8;10.0591716;
Lampung Selatan;2022;Kacang Tamnah;131.5621283;91.7;14.34701508;
Lampung Selatan;2022;Kedelai;89.9770338;57.7;15.59394;
Lampung Selatan;2022;Padi;339941.87;56393.41;60.28042461;
Lampung Selatan;2022;Padi Ladang;0;0;0;
Lampung Selatan;2022;Padi Sawah;0;0;0;
Lampung Selatan;2022;Ubijalar;943.9338511;51;185.0850688;
Lampung Selatan;2022;Ubikayu / Ketela Pohon;77158.03316;2492.9;309.5111443;
Lampung Selatan;2023;Jagung;0;0;0;
Lampung Selatan;2023;Kacang Hijau;0;0;0;
Lampung Selatan;2023;Kacang Tamnah;0;0;0;
Lampung Selatan;2023;Kedelai;0;0;0;
Lampung Selatan;2023;Padi;294548.78;52334.35;56.28211299;
Lampung Selatan;2023;Padi Ladang;0;0;0;
Lampung Selatan;2023;Padi Sawah;0;0;0;
Lampung Selatan;2023;Ubijalar;0;0;#DIV/0!;
Lampung Selatan;2023;Ubikayu / Ketela Pohon;0;0;#DIV/0!;
Lampung Timur;2017;Jagung;735742.8421;141878.7;51.85717392;
Lampung Timur;2017;Kacang Hijau;0;369.5;0;
Lampung Timur;2017;Kacang Tamnah;801.9379245;619.4;12.94701202;
Lampung Timur;2017;Kedelai;3293;2314.5;14.22769497;
Lampung Timur;2017;Padi;667730;128979.3;51.77032283;
Lampung Timur;2017;Padi Ladang;0;0;0;
Lampung Timur;2017;Padi Sawah;0;0;0;
Lampung Timur;2017;Ubijalar;3280.547075;307.8;106.5804768;
Lampung Timur;2017;Ubikayu / Ketela Pohon;1184497.017;42994.1;275.5022239;
Lampung Timur;2018;Jagung;0;0;0;
Lampung Timur;2018;Kacang Hijau;419;299.5;13.98998331;
Lampung Timur;2018;Kacang Tamnah;585.4919796;445;13.15712314;
Lampung Timur;2018;Kedelai;12083.04816;9456.4;12.77764071;
Lampung Timur;2018;Padi;441855.33;99903.34;44.22828406;
Lampung Timur;2018;Padi Ladang;0;0;0;
Lampung Timur;2018;Padi Sawah;0;0;0;
Lampung Timur;2018;Ubijalar;5602.970294;252.2;222.1637706;
Lampung Timur;2018;Ubikayu / Ketela Pohon;933243.4417;35927.1;259.760304;
Lampung Timur;2019;Jagung;0;0;0;
Lampung Timur;2019;Kacang Hijau;299.4014;312.3;9.586980467;
Lampung Timur;2019;Kacang Tamnah;620.645534;450.8;13.76764716;
Lampung Timur;2019;Kedelai;1642;1254.6;13.08783676;
Lampung Timur;2019;Padi;355113.03;80699.48;44.00437648;
Lampung Timur;2019;Padi Ladang;0;0;0;
Lampung Timur;2019;Padi Sawah;0;0;0;
Lampung Timur;2019;Ubijalar;5108.447641;244.3;209.1055113;
Lampung Timur;2019;Ubikayu / Ketela Pohon;986883.3611;30776;320.6665457;
Lampung Timur;2020;Jagung;0;0;0;
Lampung Timur;2020;Kacang Hijau;61;265.7;2.295822356;
Lampung Timur;2020;Kacang Tamnah;680.2868283;462.9;14.69619417;
Lampung Timur;2020;Kedelai;20.59398457;12.6;16.3444322;
Lampung Timur;2020;Padi;459300.61;94847.31;48.42526478;
Lampung Timur;2020;Padi Ladang;0;0;0;
Lampung Timur;2020;Padi Sawah;0;0;0;
Lampung Timur;2020;Ubijalar;5712.07876;359.4;158.933744;
Lampung Timur;2020;Ubikayu / Ketela Pohon;739686.3856;25453.1;290.6075824;
Lampung Timur;2021;Jagung;0;0;0;
Lampung Timur;2021;Kacang Hijau;333.2;368.1;9.051888074;
Lampung Timur;2021;Kacang Tamnah;677.3470208;619.1;10.9408338;
Lampung Timur;2021;Kedelai;15.63219144;10.7;14.60952471;
Lampung Timur;2021;Padi;397374.49;83568.7;47.55063678;
Lampung Timur;2021;Padi Ladang;0;0;0;
Lampung Timur;2021;Padi Sawah;0;0;0;
Lampung Timur;2021;Ubijalar;6713.551864;352.6;190.4013575;
Lampung Timur;2021;Ubikayu / Ketela Pohon;934057.9572;29907.9;312.3114486;
Lampung Timur;2022;Jagung;0;0;0;
Lampung Timur;2022;Kacang Hijau;196.1;200.8;9.765936255;
Lampung Timur;2022;Kacang Tamnah;381.0323027;269.6;14.13324565;
Lampung Timur;2022;Kedelai;31.267584;20;15.633792;
Lampung Timur;2022;Padi;449294.9;91718.06;48.98652457;
Lampung Timur;2022;Padi Ladang;0;0;0;
Lampung Timur;2022;Padi Sawah;0;0;0;
Lampung Timur;2022;Ubijalar;4144.616292;230.5;179.8098174;
Lampung Timur;2022;Ubikayu / Ketela Pohon;1313546.502;40955.9;320.7221674;
Lampung Timur;2023;Jagung;0;0;0;
Lampung Timur;2023;Kacang Hijau;0;0;0;
Lampung Timur;2023;Kacang Tamnah;0;0;0;
Lampung Timur;2023;Kedelai;0;0;0;
Lampung Timur;2023;Padi;475668.41;94070.36;50.56517377;
Lampung Timur;2023;Padi Ladang;0;0;0;
Lampung Timur;2023;Padi Sawah;0;0;0;
Lampung Timur;2023;Ubijalar;0;0;0;
Lampung Timur;2023;Ubikayu / Ketela Pohon;0;0;0;
Lampung Tengah;2017;Jagung;426966.407;78106.3;54.66478466;
Lampung Tengah;2017;Kacang Hijau;0;205.7;0;
Lampung Tengah;2017;Kacang Tamnah;865.6747279;595.4;14.53938072;
Lampung Tengah;2017;Kedelai;75;55.2;13.58695652;
Lampung Tengah;2017;Padi;775926;153558.3;50.52973366;
Lampung Tengah;2017;Padi Ladang;0;0;0;
Lampung Tengah;2017;Padi Sawah;0;0;0;
Lampung Tengah;2017;Ubijalar;1653.370112;159.8;103.4649632;
Lampung Tengah;2017;Ubikayu / Ketela Pohon;1317660.257;53805.3;244.8941382;
Lampung Tengah;2018;Jagung;0;0;0;
Lampung Tengah;2018;Kacang Hijau;164;164.7;9.957498482;
