komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Telur Ayam,05/02/2018,""20,450"""
"Bawang Merah,05/02/2018,""18,250"""
"Bawang Putih,05/02/2018,""22,150"""
"Cabai Merah Besar,05/02/2018,""42,650"""
"Cabai Merah Keriting,05/02/2018,""34,000"""
"Cabai Rawit Hijau,05/02/2018,""38,000"""
"Cabai Rawit Merah,05/02/2018,""39,000"""
"Minyak Goreng,05/02/2018,""13,100"""
"Gula Pasir,05/02/2018,""12,700"""
"Beras,06/02/2018,""12,300"""
"Daging Ayam,06/02/2018,""30,100"""
"Daging Sapi,06/02/2018,""110,000"""
"Telur Ayam,06/02/2018,""20,350"""
"Bawang Merah,06/02/2018,""18,250"""
"Bawang Putih,06/02/2018,""22,150"""
"Cabai Merah Besar,06/02/2018,""42,150"""
"Cabai Merah Keriting,06/02/2018,""34,400"""
"Cabai Rawit Hijau,06/02/2018,""38,500"""
"Cabai Rawit Merah,06/02/2018,""38,400"""
"Minyak Goreng,06/02/2018,""13,100"""
"Gula Pasir,06/02/2018,""12,700"""
"Beras,07/02/2018,""12,300"""
"Daging Ayam,07/02/2018,""30,250"""
"Daging Sapi,07/02/2018,""110,000"""
"Telur Ayam,07/02/2018,""20,300"""
"Bawang Merah,07/02/2018,""18,400"""
"Bawang Putih,07/02/2018,""22,150"""
"Cabai Merah Besar,07/02/2018,""42,250"""
"Cabai Merah Keriting,07/02/2018,""34,900"""
"Cabai Rawit Hijau,07/02/2018,""39,000"""
"Cabai Rawit Merah,07/02/2018,""38,900"""
"Minyak Goreng,07/02/2018,""13,100"""
"Gula Pasir,07/02/2018,""12,700"""
"Beras,08/02/2018,""12,250"""
"Daging Ayam,08/02/2018,""30,400"""
"Daging Sapi,08/02/2018,""110,000"""
"Telur Ayam,08/02/2018,""20,100"""
"Bawang Merah,08/02/2018,""18,650"""
"Bawang Putih,08/02/2018,""22,650"""
"Cabai Merah Besar,08/02/2018,""43,500"""
"Cabai Merah Keriting,08/02/2018,""34,150"""
"Cabai Rawit Hijau,08/02/2018,""39,750"""
"Cabai Rawit Merah,08/02/2018,""40,500"""
"Minyak Goreng,08/02/2018,""13,100"""
"Gula Pasir,08/02/2018,""12,700"""
"Beras,09/02/2018,""12,250"""
"Daging Ayam,09/02/2018,""30,650"""
"Daging Sapi,09/02/2018,""110,000"""
"Telur Ayam,09/02/2018,""20,100"""
"Bawang Merah,09/02/2018,""19,400"""
"Bawang Putih,09/02/2018,""25,650"""
"Cabai Merah Besar,09/02/2018,""42,750"""
"Cabai Merah Keriting,09/02/2018,""32,650"""
"Cabai Rawit Hijau,09/02/2018,""37,250"""
"Cabai Rawit Merah,09/02/2018,""40,000"""
"Minyak Goreng,09/02/2018,""13,050"""
"Gula Pasir,09/02/2018,""12,700"""
"Beras,12/02/2018,""12,250"""
"Daging Ayam,12/02/2018,""30,650"""
"Daging Sapi,12/02/2018,""110,000"""
"Telur Ayam,12/02/2018,""20,600"""
"Bawang Merah,12/02/2018,""20,650"""
"Bawang Putih,12/02/2018,""29,750"""
"Cabai Merah Besar,12/02/2018,""45,900"""
"Cabai Merah Keriting,12/02/2018,""35,750"""
"Cabai Rawit Hijau,12/02/2018,""37,000"""
"Cabai Rawit Merah,12/02/2018,""39,500"""
"Minyak Goreng,12/02/2018,""13,100"""
"Gula Pasir,12/02/2018,""12,700"""
"Beras,13/02/2018,""12,200"""
"Daging Ayam,13/02/2018,""30,650"""
"Daging Sapi,13/02/2018,""110,000"""
"Telur Ayam,13/02/2018,""21,400"""
"Bawang Merah,13/02/2018,""21,150"""
"Bawang Putih,13/02/2018,""29,750"""
"Cabai Merah Besar,13/02/2018,""46,250"""
"Cabai Merah Keriting,13/02/2018,""35,750"""
"Cabai Rawit Hijau,13/02/2018,""36,250"""
"Cabai Rawit Merah,13/02/2018,""41,650"""
"Minyak Goreng,13/02/2018,""13,100"""
"Gula Pasir,13/02/2018,""12,800"""
"Beras,14/02/2018,""12,200"""
"Daging Ayam,14/02/2018,""30,650"""
"Daging Sapi,14/02/2018,""110,000"""
"Telur Ayam,14/02/2018,""21,600"""
"Bawang Merah,14/02/2018,""21,000"""
"Bawang Putih,14/02/2018,""30,400"""
"Cabai Merah Besar,14/02/2018,""47,500"""
"Cabai Merah Keriting,14/02/2018,""36,500"""
"Cabai Rawit Hijau,14/02/2018,""34,750"""
"Cabai Rawit Merah,14/02/2018,""39,750"""
"Minyak Goreng,14/02/2018,""13,100"""
"Gula Pasir,14/02/2018,""12,800"""
"Beras,15/02/2018,""12,300"""
"Daging Ayam,15/02/2018,""30,150"""
"Daging Sapi,15/02/2018,""110,000"""
"Telur Ayam,15/02/2018,""21,850"""
"Bawang Merah,15/02/2018,""20,250"""
"Bawang Putih,15/02/2018,""33,150"""
"Cabai Merah Besar,15/02/2018,""48,750"""
