Tahun;Kode Wilayah;Kabupaten_Kota;Kelompok Bahan;Komoditas;Konsumsi Pangan
2023;1808;Way Kawan;Gula;Gula Pasir;8,14
2023;1808;Way Kawan;Gula;Gula Merah;0,76
2023;1808;Way Kawan;Sayur dan Buah;Sayur dan Buah;129,94
2023;1808;Way Kawan;Sayur dan Buah;Sayur;78,56
2023;1808;Way Kawan;Sayur dan Buah;Buah;51,38
2023;1805;Tulang Bawang;Padi-Padian;Padi-Padian;105,05
2023;1805;Tulang Bawang;Padi-Padian;Beras;93,18
2023;1805;Tulang Bawang;Padi-Padian;Jagung;0,47
2023;1805;Tulang Bawang;Padi-Padian;Terigu;11,40
2023;1805;Tulang Bawang;Umbi-umbian;Umbi-umbian;17,59
2023;1805;Tulang Bawang;Umbi-umbian;Singkong;12,70
2023;1805;Tulang Bawang;Umbi-umbian;Ubi Jalar;3,37
2023;1805;Tulang Bawang;Umbi-umbian;kentang;1,38
2023;1805;Tulang Bawang;Umbi-umbian;Sagu;0,00
2023;1805;Tulang Bawang;Umbi-umbian;Umbi lainnya;0,14
2023;1805;Tulang Bawang;Pangan Hewani;Pangan Hewani;42,72
2023;1805;Tulang Bawang;Pangan Hewani;Daging Ruminansia;2,50
2023;1805;Tulang Bawang;Pangan Hewani;Daging Unggas;7,11
2023;1805;Tulang Bawang;Pangan Hewani;Telur;5,80
2023;1805;Tulang Bawang;Pangan Hewani;Susu;1,99
2023;1805;Tulang Bawang;Pangan Hewani;Ikan ;25,32
2023;1805;Tulang Bawang;Minyak dan Lemak;Minyak dan Lemak;10,64
2023;1805;Tulang Bawang;Minyak dan Lemak;Minyak Kelapa;0,00
2023;1805;Tulang Bawang;Minyak dan Lemak;Minyak sawit;10,20
2023;1805;Tulang Bawang;Minyak dan Lemak;Minyak lainnya;0,44
2023;1805;Tulang Bawang;Buah/Biji Berminyak;Buah/Biji Berminyak;1,63
2023;1805;Tulang Bawang;Buah/Biji Berminyak;Kelapa;1,35
2023;1805;Tulang Bawang;Buah/Biji Berminyak;Kemiri;0,28
2023;1805;Tulang Bawang;Kacang-kacangan;Kacang-kacangan;8,34
2023;1805;Tulang Bawang;Kacang-kacangan;Kedelai;7,97
2023;1805;Tulang Bawang;Kacang-kacangan;Kacang tanah;0,18
2023;1805;Tulang Bawang;Kacang-kacangan;Kacang hijau;0,15
2023;1805;Tulang Bawang;Kacang-kacangan;kacang lain;0,04
2023;1805;Tulang Bawang;Gula;Gula;6,55
2023;1805;Tulang Bawang;Gula;Gula Pasir;5,92
2023;1805;Tulang Bawang;Gula;Gula Merah;0,63
2023;1805;Tulang Bawang;Sayur dan Buah;Sayur dan Buah;92,86
2023;1805;Tulang Bawang;Sayur dan Buah;Sayur;64,10
2023;1805;Tulang Bawang;Sayur dan Buah;Buah;28,76
2023;1809;Pesawaran;Padi-Padian;Padi-Padian;115,39
2023;1809;Pesawaran;Padi-Padian;Beras;96,25
2023;1809;Pesawaran;Padi-Padian;Jagung;0,54
2023;1809;Pesawaran;Padi-Padian;Terigu;18,60
2023;1809;Pesawaran;Umbi-umbian;Umbi-umbian;17,4
2023;1809;Pesawaran;Umbi-umbian;Singkong;11,31
2023;1809;Pesawaran;Umbi-umbian;Ubi Jalar;3,94
2023;1809;Pesawaran;Umbi-umbian;kentang;0,64
2023;1809;Pesawaran;Umbi-umbian;Sagu;0,04
2023;1809;Pesawaran;Umbi-umbian;Umbi lainnya;1,47
2023;1809;Pesawaran;Pangan Hewani;Pangan Hewani;41,87
2023;1809;Pesawaran;Pangan Hewani;Daging Ruminansia;4,27
2023;1809;Pesawaran;Pangan Hewani;Daging Unggas;7,56
2023;1809;Pesawaran;Pangan Hewani;Telur;7,70
2023;1809;Pesawaran;Pangan Hewani;Susu;1,90
2023;1809;Pesawaran;Pangan Hewani;Ikan ;20,44
2023;1809;Pesawaran;Minyak dan Lemak;Minyak dan Lemak;11,81
2023;1809;Pesawaran;Minyak dan Lemak;Minyak Kelapa;0,04
2023;1809;Pesawaran;Minyak dan Lemak;Minyak sawit;11,53
2023;1809;Pesawaran;Minyak dan Lemak;Minyak lainnya;0,24
2023;1809;Pesawaran;Buah/Biji Berminyak;Buah/Biji Berminyak;1,7
2023;1809;Pesawaran;Buah/Biji Berminyak;Kelapa;1,45
2023;1809;Pesawaran;Buah/Biji Berminyak;Kemiri;0,25
2023;1809;Pesawaran;Kacang-kacangan;Kacang-kacangan;12,19
2023;1809;Pesawaran;Kacang-kacangan;Kedelai;11,86
2023;1809;Pesawaran;Kacang-kacangan;Kacang tanah;0,12
2023;1809;Pesawaran;Kacang-kacangan;Kacang hijau;0,11
2023;1809;Pesawaran;Kacang-kacangan;kacang lain;0,10
2023;1809;Pesawaran;Gula;Gula;7,93
2023;1809;Pesawaran;Gula;Gula Pasir;6,96
2023;1809;Pesawaran;Gula;Gula Merah;0,97
2023;1809;Pesawaran;Sayur dan Buah;Sayur dan Buah;125,2
2023;1809;Pesawaran;Sayur dan Buah;Sayur;81,93
2023;1809;Pesawaran;Sayur dan Buah;Buah;43,27
2023;1810;Pringsewu;Padi-Padian;Padi-Padian;109,91
2023;1810;Pringsewu;Padi-Padian;Beras;92,77
2023;1810;Pringsewu;Padi-Padian;Jagung;0,45
2023;1810;Pringsewu;Padi-Padian;Terigu;16,69
2023;1810;Pringsewu;Umbi-umbian;Umbi-umbian;16,79
2023;1810;Pringsewu;Umbi-umbian;Singkong;11,74
2023;1810;Pringsewu;Umbi-umbian;Ubi Jalar;3,24
2023;1810;Pringsewu;Umbi-umbian;kentang;1,45
2023;1810;Pringsewu;Umbi-umbian;Sagu;0,08
2023;1810;Pringsewu;Umbi-umbian;Umbi lainnya;0,28
2023;1810;Pringsewu;Pangan Hewani;Pangan Hewani;35,9
2023;1810;Pringsewu;Pangan Hewani;Daging Ruminansia;4,02
2023;1810;Pringsewu;Pangan Hewani;Daging Unggas;6,02
2023;1810;Pringsewu;Pangan Hewani;Telur;7,21
2023;1810;Pringsewu;Pangan Hewani;Susu;1,79
2023;1810;Pringsewu;Pangan Hewani;Ikan ;16,86
2023;1810;Pringsewu;Minyak dan Lemak;Minyak dan Lemak;14,52
2023;1810;Pringsewu;Minyak dan Lemak;Minyak Kelapa;0,07
2023;1810;Pringsewu;Minyak dan Lemak;Minyak sawit;12,78
2023;1810;Pringsewu;Minyak dan Lemak;Minyak lainnya;0,25
2023;1810;Pringsewu;Buah/Biji Berminyak;Buah/Biji Berminyak;1,42
2023;1810;Pringsewu;Buah/Biji Berminyak;Kelapa;12,38
2023;1810;Pringsewu;Buah/Biji Berminyak;Kemiri;0,21
2023;1810;Pringsewu;Kacang-kacangan;Kacang-kacangan;12,17
2023;1810;Pringsewu;Kacang-kacangan;Kedelai;0,57
2023;1810;Pringsewu;Kacang-kacangan;Kacang tanah;0,09
2023;1810;Pringsewu;Kacang-kacangan;Kacang hijau;0,25
2023;1810;Pringsewu;Kacang-kacangan;kacang lain;0,23
2023;1810;Pringsewu;Gula;Gula;8,31
2023;1810;Pringsewu;Gula;Gula Pasir;6,43
2023;1810;Pringsewu;Gula;Gula Merah;1,88
2023;1810;Pringsewu;Sayur dan Buah;Sayur dan Buah;112,14
2023;1810;Pringsewu;Sayur dan Buah;Sayur;71,08
2023;1810;Pringsewu;Sayur dan Buah;Buah;41,06
2023;1811;Mesuji;Padi-Padian;Padi-Padian;109,28
2023;1811;Mesuji;Padi-Padian;Beras;94,85
2023;1811;Mesuji;Padi-Padian;Jagung;0,47
2023;1811;Mesuji;Padi-Padian;Terigu;13,96
2023;1811;Mesuji;Umbi-umbian;Umbi-umbian;4,76
2023;1811;Mesuji;Umbi-umbian;Singkong;12,6
2023;1811;Mesuji;Umbi-umbian;Ubi Jalar;3,19
2023;1811;Mesuji;Umbi-umbian;kentang;1,23
2023;1811;Mesuji;Umbi-umbian;Sagu;0,00
2023;1811;Mesuji;Umbi-umbian;Umbi lainnya;0,34
2023;1811;Mesuji;Pangan Hewani;Pangan Hewani;41,88
2023;1811;Mesuji;Pangan Hewani;Daging Ruminansia;2,72
2023;1811;Mesuji;Pangan Hewani;Daging Unggas;8,64
2023;1811;Mesuji;Pangan Hewani;Telur;6,51
2023;1811;Mesuji;Pangan Hewani;Susu;1,78
2023;1811;Mesuji;Pangan Hewani;Ikan ;22,23
2023;1811;Mesuji;Minyak dan Lemak;Minyak dan Lemak;11,4
2023;1811;Mesuji;Minyak dan Lemak;Minyak Kelapa;0,0
2023;1811;Mesuji;Minyak dan Lemak;Minyak sawit;11,41
2023;1811;Mesuji;Minyak dan Lemak;Minyak lainnya;0,02
2023;1811;Mesuji;Buah/Biji Berminyak;Buah/Biji Berminyak;1,72
2023;1811;Mesuji;Buah/Biji Berminyak;Kelapa;1,46
2023;1811;Mesuji;Buah/Biji Berminyak;Kemiri;0,26
2023;1811;Mesuji;Kacang-kacangan;Kacang-kacangan;7,73
2023;1811;Mesuji;Kacang-kacangan;Kedelai;7,41
2023;1811;Mesuji;Kacang-kacangan;Kacang tanah;0,06
2023;1811;Mesuji;Kacang-kacangan;Kacang hijau;0,23
2023;1811;Mesuji;Kacang-kacangan;kacang lain;0,03
2023;1811;Mesuji;Gula;Gula;7,4
2023;1811;Mesuji;Gula;Gula Pasir;6,51
2023;1811;Mesuji;Gula;Gula Merah;0,89
2023;1811;Mesuji;Sayur dan Buah;Sayur dan Buah;96,6
2023;1811;Mesuji;Sayur dan Buah;Sayur;69,35
2023;1811;Mesuji;Sayur dan Buah;Buah;27,25
2023;1812;Tulang Bawang Barat;Padi-Padian;Padi-Padian;106,8
2023;1812;Tulang Bawang Barat;Padi-Padian;Beras;94,47
2023;1812;Tulang Bawang Barat;Padi-Padian;Jagung;0,25
2023;1812;Tulang Bawang Barat;Padi-Padian;Terigu;12,08
2023;1812;Tulang Bawang Barat;Umbi-umbian;Umbi-umbian;1,31
2023;1812;Tulang Bawang Barat;Umbi-umbian;Singkong;10,1
2023;1812;Tulang Bawang Barat;Umbi-umbian;Ubi Jalar;1,9
2023;1812;Tulang Bawang Barat;Umbi-umbian;kentang;1,26
2023;1812;Tulang Bawang Barat;Umbi-umbian;Sagu;0,00
2023;1812;Tulang Bawang Barat;Umbi-umbian;Umbi lainnya;0,05
2023;1812;Tulang Bawang Barat;Pangan Hewani;Pangan Hewani;34,28
2023;1812;Tulang Bawang Barat;Pangan Hewani;Daging Ruminansia;2,31
2023;1812;Tulang Bawang Barat;Pangan Hewani;Daging Unggas;5,48
2023;1812;Tulang Bawang Barat;Pangan Hewani;Telur;5,71
2023;1812;Tulang Bawang Barat;Pangan Hewani;Susu;1,72
2023;1812;Tulang Bawang Barat;Pangan Hewani;Ikan ;19,06
2023;1812;Tulang Bawang Barat;Minyak dan Lemak;Minyak dan Lemak;10,68
2023;1812;Tulang Bawang Barat;Minyak dan Lemak;Minyak Kelapa;0,23
2023;1812;Tulang Bawang Barat;Minyak dan Lemak;Minyak sawit;9,97
2023;1812;Tulang Bawang Barat;Minyak dan Lemak;Minyak lainnya;0,48
2023;1812;Tulang Bawang Barat;Buah/Biji Berminyak;Buah/Biji Berminyak;1,16
2023;1812;Tulang Bawang Barat;Buah/Biji Berminyak;Kelapa;1,03
2023;1812;Tulang Bawang Barat;Buah/Biji Berminyak;Kemiri;0,13
2023;1812;Tulang Bawang Barat;Kacang-kacangan;Kacang-kacangan;7,63
2023;1812;Tulang Bawang Barat;Kacang-kacangan;Kedelai;7,25
2023;1812;Tulang Bawang Barat;Kacang-kacangan;Kacang tanah;0,12
